,ts,open,high,low,close,vol
22480,1758281700000,116396.2,116400.0,116376.63,116376.64,13.90273
22481,1758282000000,116376.64,116376.64,116336.86,116350.0,22.86849
22482,1758282300000,116349.99,116350.0,116300.0,116310.0,24.42934
22483,1758282600000,116310.0,116377.19,116307.34,116377.18,24.14385
22484,1758282900000,116377.19,116399.8,116363.89,116394.72,20.15364
22485,1758283200000,116394.72,116419.39,116380.0,116419.39,23.23673
22486,1758283500000,116419.38,116470.3,116419.38,116470.3,34.60342
22487,1758283800000,116470.29,116470.3,116422.0,116469.83,11.35986
22488,1758284100000,116469.84,116529.08,116465.29,116509.89,14.50705
22489,1758284400000,116509.87,116509.87,116352.84,116384.17,36.5269
22490,1758284700000,116384.16,116384.17,116200.0,116231.47,108.68873
22491,1758285000000,116231.47,116287.17,116186.63,116206.33,56.65548
22492,1758285300000,116206.32,116241.3,116180.69,116232.47,47.665
22493,1758285600000,116232.48,116239.99,116223.45,116223.45,12.01271
22494,1758285900000,116223.45,116223.46,116133.66,116141.73,30.49843
22495,1758286200000,116141.73,116183.95,116133.66,116178.31,74.0801
22496,1758286500000,116178.31,116234.37,116153.53,116162.45,38.90396
22497,1758286800000,116162.45,116222.43,116142.3,116222.43,30.83218
22498,1758287100000,116222.43,116222.43,116130.61,116130.61,23.57715
22499,1758287400000,116130.61,116173.13,116122.63,116144.73,22.3015
22500,1758287700000,116144.73,116144.73,116080.91,116080.91,29.22629
22501,1758288000000,116080.92,116097.79,116075.0,116097.79,29.88115
22502,1758288300000,116097.79,116350.01,116097.79,116212.0,77.60878
22503,1758288600000,116212.0,116293.69,116105.49,116167.17,47.37622
22504,1758288900000,116167.17,116256.0,116119.15,116239.34,29.38362
22505,1758289200000,116239.35,116352.56,116217.49,116272.81,23.16084
22506,1758289500000,116272.81,116465.35,116234.86,116426.91,48.71339
22507,1758289800000,116426.9,116464.22,116365.55,116421.66,31.33907
22508,1758290100000,116421.67,116421.67,116253.39,116284.64,41.72359
22509,1758290400000,116284.63,116379.99,116253.31,116379.99,24.83844
22510,1758290700000,116379.99,116389.17,116275.26,116275.27,25.46133
22511,1758291000000,116275.26,116347.61,116221.22,116310.24,23.45204
22512,1758291300000,116310.25,116359.99,116216.84,116216.85,24.38049
22513,1758291600000,116216.85,116376.03,116210.74,116371.59,29.00794
22514,1758291900000,116371.59,116479.11,116265.3,116265.3,42.54597
22515,1758292200000,116265.3,116346.82,116250.0,116289.0,36.73716
22516,1758292500000,116289.01,116289.01,116160.67,116171.36,101.82284
22517,1758292800000,116171.36,116244.94,116113.2,116113.2,150.38689
22518,1758293100000,116113.2,116159.99,115833.2,115889.99,261.39787
22519,1758293400000,115890.0,116017.23,115800.0,115931.63,93.30459
22520,1758293700000,115931.63,115959.5,115848.45,115899.99,33.05846
22521,1758294000000,115899.99,115900.0,115650.33,115650.34,183.03772
22522,1758294300000,115650.34,115664.13,115566.07,115641.59,108.36013
22523,1758294600000,115641.59,115653.26,115464.19,115519.82,124.63318
22524,1758294900000,115519.81,115593.19,115498.85,115560.74,67.26495
22525,1758295200000,115560.74,115734.37,115542.0,115734.36,124.68349
22526,1758295500000,115734.36,115800.0,115644.0,115800.0,39.17805
22527,1758295800000,115800.0,115800.0,115640.0,115673.4,40.9
22528,1758296100000,115673.41,115838.85,115646.51,115813.03,41.92658
22529,1758296400000,115813.03,115952.95,115813.03,115914.36,71.5921
22530,1758296700000,115914.36,115939.05,115826.54,115840.78,33.65075
22531,1758297000000,115840.79,115899.4,115809.73,115899.4,17.61445
22532,1758297300000,115899.39,115927.97,115840.0,115884.03,34.77808
22533,1758297600000,115884.03,115990.46,115800.0,115920.01,71.82538
22534,1758297900000,115920.01,115988.54,115899.04,115988.53,47.75556
22535,1758298200000,115988.54,116000.0,115920.02,115972.92,40.59598
22536,1758298500000,115972.93,116041.03,115959.74,115966.33,30.09375
22537,1758298800000,115966.32,115992.65,115928.81,115987.4,19.94476
22538,1758299100000,115987.41,116001.73,115953.66,115962.12,16.63173
22539,1758299400000,115962.12,115962.12,115854.33,115922.26,18.6907
22540,1758299700000,115922.26,115969.04,115864.53,115864.53,19.73373
22541,1758300000000,115864.54,115996.31,115864.53,115996.31,18.82857
22542,1758300300000,115996.3,116136.0,115996.3,116110.29,23.59424
22543,1758300600000,116110.29,116110.29,116086.99,116087.0,20.47379
22544,1758300900000,116087.0,116093.58,116055.43,116088.68,27.20415
22545,1758301200000,116088.68,116093.18,115947.9,115947.9,36.93545
22546,1758301500000,115947.91,115947.91,115822.87,115822.87,23.03138
22547,1758301800000,115822.87,115858.97,115800.26,115810.11,13.47576
22548,1758302100000,115810.11,115829.29,115723.75,115770.09,28.27549
22549,1758302400000,115770.08,115800.0,115720.47,115738.29,22.60791
22550,1758302700000,115738.29,115790.67,115737.83,115790.66,13.86056
22551,1758303000000,115790.66,115790.67,115671.29,115673.24,48.39065
22552,1758303300000,115673.23,115748.97,115599.0,115620.49,70.11133
22553,1758303600000,115620.49,115684.41,115609.33,115626.8,22.75849
22554,1758303900000,115626.8,115699.84,115620.0,115657.35,26.55377
22555,1758304200000,115657.35,115657.36,115575.38,115575.39,11.3541
22556,1758304500000,115575.38,115598.34,115538.67,115542.73,43.21139
22557,1758304800000,115542.73,115597.36,115538.79,115555.03,19.92089
